略称まとめ

account -> acnt          アカウント  
address -> addr          住所  
admin -> adn             管理者  
admit -> adt             承認  
certificate -> cert      証明書  
certification -> cert    証明書  
continue -> cnti         続ける  
date_of_birth -> bd      誕生日  
date_of_expiry -> xpry   有効期限  
delete -> del            削除  
detail -> dtl            詳細  
email -> em              メール
explain -> exp           説明  
farmer -> fmr            農家  
flag -> fla              フラグ  
goods -> gds             商品  
icon -> ico              アイコン  
image -> img             イメージ  
old -> od                旧  
password -> pwd          パスワード  
phone -> tel             電話  
postcode -> pst          郵便番号  
price -> price           価格  
proceeds -> prcds        利益  
proof -> prf             証明  
purchaser -> pchr        購入者  
quantity -> qua          数量  
reason -> rsn            理由  
sales -> sls             販売  
status -> sts            ステータス  
unit -> unt              単位  
user -> usr              ユーザ  
vegetable -> vege        野菜  
